PromptName,PromptSpeechPrefix,PromptSpeechPostfix,PromptText
low_battery,,,BATERÍA BAJA!!!
Auto,,,Automático
manual,,,Manual
ptt_toggle,,,PTT Fijo
private_call_handling,,,Filtro PC
stop,,,Parar
one_line,,,1 linea
two_lines,,,2 linea
new_channel,,,Nuevo canal
priority_order,,,Orden de prioridad
dmr_beep,,,D M R beep
start,,,Inicio
both,,,Ambos
vox_threshold,,,VOX Ganancia
vox_tail,,,VOX cola
audio_prompt,,,Prompt
silent,,,Silencio
normal,,,Normal
beep,,,Pitido
voice_prompt_level_1,,,Voz
transmitTalkerAlias,,,Talker Alias Transmit
squelch_VHF,,,V H F squelch
squelch_220,,,220 Megahertz squelch
squelch_UHF,,,U H F squelch
display_background_colour,,,despliega color de fondo
openGD77,,,Open G D 77
openGD77S,,,Open G D 77 S
openDM1801,,,Open D M 1 8 0 1
openRD5R,,,Open R D 5 R
gitCommit,,,Git revision
voice_prompt_level_2,,,Voz 2
voice_prompt_level_3,,,Voz 3
